branch,radius_mm,case_quantile,eligible_cases,mean_mm,median_mm,iqr25_mm,iqr75_mm
pos,2.0,p25,97,19.528317643195084,14.11124324798584,10.700718879699707,25.779067993164062
pos,2.0,p50,97,35.61659551404186,31.436824798583984,19.954103469848633,48.288516998291016
pos,2.0,p75,97,54.561031095760384,50.576210021972656,36.18348693847656,66.01441383361816
pos,2.0,p90,97,70.92512127591162,67.19093017578125,51.882423400878906,83.36227874755859
pos,2.0,p95,97,78.76998698441024,73.62627792358398,59.118505096435534,92.43973541259766
pos,2.0,p99,97,89.40831389004423,85.78717315673829,71.25204711914064,102.24181365966797
pos,4.0,p25,97,18.57195335565154,12.94672966003418,9.668461799621582,25.221309661865234
pos,4.0,p50,97,34.463623282835655,30.26131248474121,18.50893783569336,47.07729721069336
pos,4.0,p75,97,53.33010516215845,49.699843406677246,35.191293716430664,64.30016899108887
pos,4.0,p90,97,69.63689941327597,66.41031646728516,50.40017471313477,82.02068786621093
pos,4.0,p95,97,77.47753164743638,72.31352615356445,57.55919551849363,91.0171569824218
pos,4.0,p99,97,88.06734821319579,84.63669921875,69.61988525390626,101.85736763000489
pos,6.0,p25,97,18.125865352522467,12.740843772888184,8.899823188781738,24.585872650146484
pos,6.0,p50,97,33.739489766740306,29.276033401489258,17.618757247924805,46.300174713134766
pos,6.0,p75,97,52.42094365837648,48.78593444824219,34.75835037231445,64.30632781982422
pos,6.0,p90,97,68.57107426751521,65.54867858886719,49.816558837890625,80.32645416259766
pos,6.0,p95,97,76.28340929955552,71.0335159301758,56.09062194824219,90.26885414123535
pos,6.0,p99,97,86.82800059407026,83.45976593017578,68.60343170166016,100.90521728515627
pos,8.0,p25,97,17.625876985874374,12.422922134399414,7.722257137298584,23.906816482543945
pos,8.0,p50,97,32.9678223010191,27.967217445373535,16.7271671295166,45.445491790771484
pos,8.0,p75,97,51.460897966758495,47.890259742736816,33.87641143798828,63.343719482421875
pos,8.0,p90,97,67.46522521972656,65.04224395751953,48.3947395324707,79.25515594482422
pos,8.0,p95,97,75.08190046684028,69.75107421874999,54.974483489990234,89.25589370727539
pos,8.0,p99,97,85.57656086203977,82.13414161682128,66.91946685791015,100.0
pos,10.0,p25,97,17.090857432060634,11.844523429870605,6.778807163238525,23.16063690185547
pos,10.0,p50,97,32.17628071971775,26.804462432861328,16.048481941223145,45.0
pos,10.0,p75,97,50.429328761149925,47.832374572753906,32.605045318603516,61.955894470214844
pos,10.0,p90,97,66.35911942708124,64.90120162963866,46.951839447021484,77.53080749511719
pos,10.0,p95,97,73.85914025060909,68.6090087890625,53.8022211074829,87.71974983215331
pos,10.0,p99,97,84.30732254185628,80.52317810058594,65.92528289794922,99.83156524658204
pos,12.0,p25,97,16.478555487603256,11.215496063232422,6.1557841300964355,22.031975269317627
pos,12.0,p50,97,31.267895875517855,26.206832885742188,15.314119338989258,43.78911590576172
pos,12.0,p75,97,49.34174183717708,46.44524002075195,31.58188247680664,61.32198905944824
pos,12.0,p90,97,65.17814672804371,63.817012786865234,45.36448822021486,76.73662567138672
pos,12.0,p95,97,72.59761787886472,67.7109664916992,52.61101703643798,86.1601661682129
pos,12.0,p99,97,83.0095772591817,79.65239105224593,64.17275741577147,98.96983032226562
pos,14.0,p25,97,15.934579915607099,10.546875,5.312572002410889,21.19996452331543
pos,14.0,p50,97,30.381725448923014,25.969953536987305,15.0,42.54345703125
pos,14.0,p75,97,48.29926249907189,45.299034118652344,30.769132614135742,60.87668991088867
pos,14.0,p90,97,64.10979715327626,62.84478683471682,43.85647506713871,75.32550354003907
pos,14.0,p95,97,71.4956929432977,66.92707519531248,51.623708343505854,84.61401672363282
pos,14.0,p99,97,81.87824180878314,78.26542037963867,62.884968643188465,97.31178665161136
pos,16.0,p25,97,15.450401950128299,10.080263137817383,5.0,20.533279418945312
pos,16.0,p50,97,29.464300701298665,25.415590286254883,15.0,40.986671447753906
pos,16.0,p75,97,47.27105258666363,44.13521957397461,30.055650234222412,59.493224143981934
pos,16.0,p90,97,62.98040978539851,61.57639694213867,42.46191787719729,73.82063293457031
pos,16.0,p95,97,70.38974736793753,66.01776504516602,50.32093505859375,82.86003799438475
pos,16.0,p99,97,80.71209792894187,77.01691284179694,61.68855072021485,95.12911643981933
pos,18.0,p25,97,14.930396964869548,10.0,5.0,20.0
pos,18.0,p50,97,28.516427826635617,25.0,14.558788299560547,40.0
pos,18.0,p75,97,46.166166787295,42.63652992248535,30.0,57.88753128051758
pos,18.0,p90,97,61.77843151682431,60.554466247558594,41.05387496948242,72.23566055297853
pos,18.0,p95,97,69.20067719331722,65.54997215270996,49.57685470581055,81.13223838806151
pos,18.0,p99,97,79.51868087296633,75.68471923828123,60.58000160217285,93.23212158203124
pos,20.0,p25,97,14.483133802708892,10.0,5.0,20.0
pos,20.0,p50,97,27.697158203911535,24.609877586364746,13.644448280334473,38.531150817871094
pos,20.0,p75,97,45.21342238691664,41.297515869140625,29.956283569335938,56.425106048583984
pos,20.0,p90,97,60.74319281627223,59.44079170227052,40.180908203125,70.81989669799806
pos,20.0,p95,97,68.14280894859549,65.19856452941895,48.163395118713375,79.54185028076171
pos,20.0,p99,97,78.40185033031344,74.41427902221679,59.52832473754886,91.58503341674802
neg,2.0,p25,95,16.804663429762186,13.423184394836426,10.431150436401367,20.43611216545105
neg,2.0,p50,95,32.48548395257247,28.044862747192383,22.04526424407959,40.528507232666016
neg,2.0,p75,95,50.605610601525555,48.79436683654785,37.08342361450195,58.6040620803833
neg,2.0,p90,95,65.25361446179842,61.86302337646483,51.03831481933594,74.67161140441894
neg,2.0,p95,95,73.0161003233257,69.54271469116212,59.31645965576172,85.64958572387695
neg,2.0,p99,95,83.52029575227435,81.82706031799317,68.95264762878418,94.05817642211909
neg,4.0,p25,95,15.823040688665289,12.35927963256836,9.673253059387207,19.417827367782593
neg,4.0,p50,95,31.405470807928786,27.025922775268555,20.756037712097168,39.35078811645508
neg,4.0,p75,95,49.39253380926032,47.491554260253906,35.972795486450195,57.04152965545654
neg,4.0,p90,95,64.01093194459614,60.86276245117188,49.971795654296876,73.39605560302735
neg,4.0,p95,95,71.76402350576299,68.2924575805664,57.88390913009641,84.35952548980713
neg,4.0,p99,95,82.232063741182,80.62970733642578,67.5324094390869,92.63495903015135
neg,6.0,p25,95,15.237006555105511,11.497703552246094,8.863819122314453,18.517540454864502
neg,6.0,p50,95,30.740520843706634,26.19900608062744,19.998391151428223,38.50194549560547
neg,6.0,p75,95,48.44086702748349,46.438865661621094,35.16462707519531,55.871338844299316
neg,6.0,p90,95,62.921764060572585,60.52537727355957,49.23542938232422,72.39815216064453
neg,6.0,p95,95,70.65127763246235,67.0900650024414,56.52342891693115,82.97763557434082
neg,6.0,p99,95,81.0241084606773,79.20884704589844,66.00941513061522,91.60336952209471
neg,8.0,p25,95,14.62564757999621,11.190840721130371,8.154240131378174,17.744905710220337
neg,8.0,p50,95,29.947124345679033,25.979822158813477,19.311398029327393,37.28804016113281
neg,8.0,p75,95,47.452324992731995,45.45368576049805,34.66334915161133,54.89906644821167
