branch,radius_mm,finite_remain_voxels,p25_mm,p50_mm,p75_mm,p90_mm,p95_mm,p99_mm
pos,2.0,796638,12.471907615661621,26.288402557373047,49.771453857421875,71.74500045776368,86.42200469970703,113.23119888305666
pos,4.0,785358,11.287118911743164,25.385936737060547,48.54510021209717,70.55655670166016,85.23668670654297,112.20915107727077
pos,6.0,766464,10.431150436401367,25.0,47.71442413330078,69.66905822753914,84.28702545166006,111.56045074462891
pos,8.0,749895,10.0,24.480758666992188,46.82609939575195,68.67764282226561,83.2536849975586,110.90054870605466
pos,10.0,733554,10.0,23.820070266723633,45.917449951171875,67.73207397460938,82.19184112548828,110.2488021850586
pos,12.0,718780,9.668461799621582,23.0159912109375,45.0,66.6118392944336,81.13028717041016,110.0
pos,14.0,707511,8.976941108703613,22.212244033813477,44.09490203857422,65.63688659667969,80.26057815551758,109.34548263549819
pos,16.0,696190,8.128966331481934,21.401437759399414,42.97198486328125,64.8385009765625,79.36959838867188,108.65378601074185
pos,18.0,686485,7.3492021560668945,20.494312286376953,41.74391174316406,63.647865295410156,78.07071075439448,107.92633880615247
pos,20.0,678459,6.47336483001709,20.0,40.68537521362305,62.5577278137207,76.93030548095703,107.40136917114286
neg,2.0,788150,12.6953125,26.96210289001465,46.556721687316895,64.88469696044922,76.70588684082031,100.97037506103516
neg,4.0,776615,11.541629791259766,25.912227630615234,45.3919677734375,63.58037185668945,75.50390396118159,100.0746905517578
neg,6.0,758197,10.920920372009277,25.30108070373535,44.48910140991211,62.5052345275879,74.54590606689453,99.24136047363284
neg,8.0,742670,10.317307472229004,24.897165298461914,43.45086669921875,61.4473876953125,73.50488204956046,98.29685974121094
neg,10.0,728218,10.0,23.993534088134766,42.35485076904297,60.347530364990234,72.39643707275391,97.36898689270014
neg,12.0,715685,10.0,22.992189407348633,41.17789840698242,59.2944450378418,71.27621612548816,96.39907531738282
neg,14.0,706275,10.0,22.047607421875,40.25001907348633,58.146942138671875,70.33091735839844,95.46429702758792
neg,16.0,696852,9.606834411621094,21.06783676147461,39.46842288970947,56.95781326293945,69.43242645263672,95.0
neg,18.0,688681,8.62777328491211,20.160526275634766,38.17633819580078,55.77895736694336,68.2296371459961,94.10547637939453
neg,20.0,681782,7.722257137298584,20.0,36.992462158203125,55.0,67.16394805908203,93.15856651306136
