branch,radius_mm,cases,unreachable_cases,unreachable_error_voxels,total_error_voxels,unreachable_error_fraction,zero_error_cases,fully_direct_covered_cases
pos,2.0,99,2,7063,808382,0.008737205924921634,0,0
pos,4.0,99,2,7063,808382,0.008737205924921634,0,0
pos,6.0,99,2,7063,808382,0.008737205924921634,0,0
pos,8.0,99,2,7063,808382,0.008737205924921634,0,0
pos,10.0,99,2,7063,808382,0.008737205924921634,0,0
pos,12.0,99,2,7063,808382,0.008737205924921634,0,0
pos,14.0,99,2,7063,808382,0.008737205924921634,0,0
pos,16.0,99,2,7063,808382,0.008737205924921634,0,0
pos,18.0,99,2,7063,808382,0.008737205924921634,0,0
pos,20.0,99,2,7063,808382,0.008737205924921634,0,0
neg,2.0,99,4,13087,805972,0.01623753678787849,0,0
neg,4.0,99,4,13087,805972,0.01623753678787849,0,0
neg,6.0,99,4,13087,805972,0.01623753678787849,0,0
neg,8.0,99,4,13087,805972,0.01623753678787849,0,0
neg,10.0,99,4,13087,805972,0.01623753678787849,0,0
neg,12.0,99,4,13087,805972,0.01623753678787849,0,0
neg,14.0,99,4,13087,805972,0.01623753678787849,0,0
neg,16.0,99,4,13087,805972,0.01623753678787849,0,0
neg,18.0,99,4,13087,805972,0.01623753678787849,0,0
neg,20.0,99,4,13087,805972,0.01623753678787849,0,0
